,sy_snum,sy_pnum,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
3285,1,1,565.207,7.512,-7.512,14.901,0.08,-0.08,12.773,0.03,-0.03,14.7389,0.00038199999999999996,-0.00038199999999999996
3286,1,1,863.0369999999998,14.8155,-14.8155,14.883,0.172,-0.172,13.09,0.03,-0.03,14.7194,0.000393,-0.000393
3287,1,1,1041.0,144.142,-81.931,15.231,0.172,-0.172,13.492,0.047,-0.047,14.9644,0.00040899999999999997,-0.00040899999999999997
3288,1,1,564.2769999999998,8.5675,-8.5675,15.217,0.08,-0.08,12.929,0.025,-0.025,14.9644,0.00040899999999999997,-0.00040899999999999997
3289,1,1,558.81,6.355,-6.216,14.827,0.057,-0.057,12.724,0.029,-0.029,14.6694,0.0005679999999999999,-0.0005679999999999999
3290,1,1,130.645,0.4970000000000001,-0.494,15.216,0.152,-0.152,10.963,0.021,-0.021,14.2513,0.00044699999999999997,-0.00044699999999999997
3291,1,1,638.3009999999998,7.172999999999999,-7.017,14.244000000000002,0.195,-0.195,12.513,0.024,-0.024,14.0822,0.000246,-0.000246
3292,1,2,644.14,8.6285,-8.6285,15.017,0.126,-0.126,12.897,0.028,-0.028,14.7738,0.000286,-0.000286
3293,1,2,644.14,8.6285,-8.6285,15.017,0.126,-0.126,12.897,0.028,-0.028,14.7738,0.000286,-0.000286
3294,1,1,568.148,5.2825,-5.2825,14.451,0.114,-0.114,12.605,0.032,-0.032,14.3288,0.000338,-0.000338
3295,1,1,723.875,9.971,-9.708,14.951,0.149,-0.149,12.986,0.026,-0.026,14.6536,0.000283,-0.000283
3296,1,1,504.667,4.871,-4.871,14.679,0.08,-0.08,12.558,0.021,-0.021,14.4853,0.000325,-0.000325
3297,1,1,771.471,10.1285,-10.1285,14.292,0.092,-0.092,12.636,0.032,-0.032,14.1359,0.000254,-0.000254
3298,1,1,682.8960000000002,8.1815,-8.1815,14.671,0.08,-0.08,12.921,0.035,-0.035,14.5392,0.000285,-0.000285
3299,1,1,853.977,14.787,-14.300999999999998,14.864,0.114,-0.114,13.078,0.032,-0.032,14.7124,0.000263,-0.000263
3300,1,1,617.55,11.337,-10.943,14.627,0.08,-0.08,12.646,0.027000000000000003,-0.027000000000000003,14.382,0.000268,-0.000268
3301,1,1,524.247,7.561,-7.352,15.155,0.046,-0.046,12.861,0.033,-0.033,14.9368,0.000362,-0.000362
3302,1,1,541.432,6.91,-6.7410000000000005,14.578,0.126,-0.126,12.561,0.02,-0.02,14.4107,0.000796,-0.000796
3303,1,1,530.765,5.11,-5.0139999999999985,14.552,0.149,-0.149,12.548,0.027000000000000003,-0.027000000000000003,14.2462,0.000244,-0.000244
3304,1,3,969.252,24.478,-23.32,15.086,0.092,-0.092,13.283,0.032,-0.032,14.8663,0.00031800000000000003,-0.00031800000000000003
3305,1,3,969.252,24.478,-23.32,15.086,0.092,-0.092,13.283,0.032,-0.032,14.8663,0.00031800000000000003,-0.00031800000000000003
3306,1,3,969.252,24.478,-23.32,15.086,0.092,-0.092,13.283,0.032,-0.032,14.8663,0.00031800000000000003,-0.00031800000000000003
3307,1,1,323.899,2.575,-2.536,15.308,0.103,-0.103,12.314,0.029,-0.029,14.9505,0.000332,-0.000332
3308,1,1,703.758,13.732,-13.225,14.701,0.057,-0.057,12.932,0.027000000000000003,-0.027000000000000003,14.5302,0.00031800000000000003,-0.00031800000000000003
3309,1,1,613.179,9.115,-8.857000000000003,15.097,0.023,-0.023,12.992,0.031,-0.031,14.9129,0.000683,-0.000683
3310,1,1,867.2710000000002,13.354,-12.961,14.883,0.195,-0.195,13.09,0.029,-0.029,14.7985,0.000263,-0.000263
3311,1,1,1848.84,79.45,-73.28,14.973,0.035,-0.035,13.529000000000002,0.034,-0.034,14.8141,0.000315,-0.000315
3312,1,1,585.187,5.537000000000001,-5.537000000000001,14.188,0.13699999999999998,-0.13699999999999998,12.403,0.019,-0.019,14.0171,0.000468,-0.000468
3313,1,1,693.7660000000002,10.3935,-10.3935,14.435,0.115,-0.115,12.742,0.036000000000000004,-0.036000000000000004,14.4125,0.000285,-0.000285
3314,1,1,787.8939999999999,12.11,-11.755,15.011,0.092,-0.092,13.25,0.027000000000000003,-0.027000000000000003,14.8658,0.000331,-0.000331
3315,1,1,1209.4,28.12,-26.9,14.8,0.069,-0.069,13.187,0.038,-0.038,14.6813,0.000272,-0.000272
3316,1,1,612.803,7.885,-7.692,14.775,0.035,-0.035,12.865,0.026,-0.026,14.6611,0.00031,-0.00031
3317,1,2,1163.22,22.14,-21.34,14.467,0.16,-0.16,12.928,0.024,-0.024,14.2786,0.000239,-0.000239
3318,1,2,1163.22,22.14,-21.34,14.467,0.16,-0.16,12.928,0.024,-0.024,14.2786,0.000239,-0.000239
3319,1,1,1421.81,33.53,-33.53,14.554,0.08,-0.08,12.936,0.031,-0.031,14.4165,0.000256,-0.000256
3320,1,1,785.137,11.113,-11.113,14.628,0.13699999999999998,-0.13699999999999998,12.970999999999998,0.032,-0.032,14.4607,0.000272,-0.000272
3321,1,1,1153.13,25.44,-24.38,14.845999999999998,0.16,-0.16,13.219,0.039,-0.039,14.6275,0.000304,-0.000304
3322,1,1,973.76,16.541,-16.541,14.622,0.206,-0.206,13.115,0.034,-0.034,14.4995,0.000283,-0.000283
3323,1,1,769.2,13.469,-13.469,14.906,0.115,-0.115,13.001,0.034,-0.034,14.7563,0.00035299999999999996,-0.00035299999999999996
3324,1,2,643.009,7.6335,-7.6335,15.067,0.126,-0.126,12.862,0.029,-0.029,14.7628,0.000279,-0.000279
3325,1,2,643.009,7.6335,-7.6335,15.067,0.126,-0.126,12.862,0.029,-0.029,14.7628,0.000279,-0.000279
3326,1,1,1023.85,23.59,-22.56,14.128,0.08,-0.08,12.715,0.028,-0.028,14.0136,0.000267,-0.000267
3327,1,1,663.418,9.072,-9.072,14.12,0.126,-0.126,12.54,0.025,-0.025,14.0185,0.00027,-0.00027
