sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
2,1,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,0.0,13.0,,,0.0,1.16,,,0.0,1233.13,270.14,-270.14,0.0,3.88,0.85,-0.85,0.0,0.38,0.06,-0.06,0.0,,,,,,,,,0,4200.0,70.0,-70.0,0.0,22.03,1.0,-1.0,0.0,0.98,0.05,-0.05,0.0,-0.46,0.05,-0.05,0.0,1.71,0.05,-0.05,0.0,276.49750530000006,65.5633652,90.6545,1.3227,-1.3227,4.8262,0.023,-0.023,2.085,0.216,-0.216,4.43216,0.0062380000000000005,-0.0062380000000000005
1,3,1078.0,2.0,-2.0,0.0,2.1,0.02,-0.02,0.0,13.2,,,0.0,1.18,,,0.0,804.08,22.25,-19.07,0.0,2.53,0.07,-0.06,0.0,0.032,0.014,-0.014,0.0,,,,,,,,,0,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,4.3,0.07,-0.07,0.0,164.8647611,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999999,0.023,-0.023,3.75,0.34,-0.34,4.878369999999999,0.0038294000000000006,-0.0038294000000000006
1,3,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,14.2,,,0.0,1.27,,,0.0,171.621,20.976,-23.201,0.0,0.54,0.066,-0.073,0.0,0.098,0.047,-0.096,0.0,,,,,,,,,0,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,4.3,0.07,-0.07,0.0,164.8647611,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999999,0.023,-0.023,3.75,0.34,-0.34,4.878369999999999,0.0038294000000000006,-0.0038294000000000006
1,3,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,13.5,,,0.0,1.2,,,0.0,521.22,92.17,-152.55,0.0,1.64,0.29,-0.48,0.0,0.16,0.09,-0.16,0.0,,,,,,,,,0,5872.0,92.94,-113.53,0.0,1.21,0.04,-0.06,0.0,1.06,0.13,-0.14,0.0,0.04,0.1,-0.1,0.0,4.3,0.07,-0.07,0.0,164.8647611,40.43049310000001,13.7967,0.0289,-0.0289,5.033519999999999,0.023,-0.023,3.75,0.34,-0.34,4.878369999999999,0.0038294000000000006,-0.0038294000000000006
3,1,11688.0,6209.25,-3287.25,0.0,12.0,4.0,-2.0,0.0,13.4,,,0.0,1.19,,,0.0,635.66,,,0.0,2.0,,,0.0,0.45,0.1,-0.15,0.0,,,,,700.0,,,0.0,0,7295.0,120.09,-98.99,0.0,1.49,0.05,-0.06,0.0,1.65,0.36,-0.18,0.0,-0.027000000000000003,0.045,-0.045,0.0,4.31,0.09,-0.07,0.0,69.40074240000001,-2.4738245,29.7575,0.1213,-0.1203,5.21149,0.023,-0.023,4.537,0.024,-0.024,5.15806,0.0023075,-0.0023075
1,1,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,14.3,,,0.0,1.27,,,0.0,146.2018,19.0698,-3.1783,0.0,0.46,0.06,-0.01,0.0,0.013,0.012,-0.012,0.0,,,,,,,,,0,5758.0,101.62,-119.62,0.0,1.18,0.07,-0.04,0.0,1.03,0.17,-0.09,0.0,0.18,0.1,-0.1,0.0,4.31,0.08,-0.06,0.0,344.3675399,20.769095800000002,15.4614,0.0297,-0.0297,5.45309,0.023,-0.023,3.911,0.021,-0.021,5.28647,0.002768,-0.002768
2,5,14.6516,0.0001,-0.0001,0.0,0.1134,0.0006,-0.0006,0.0,13.9,,,0.0,1.24,,,0.0,263.9785,1.0488,-1.0488,0.0,0.8306,0.0033,-0.0033,0.0,0.0,0.01,-0.01,0.0,,,,,700.0,,,0.0,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.329815399999998,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
2,5,44.3989,0.0042,-0.0043,0.0,0.2373,0.0013,-0.0013,0.0,8.51,,,0.0,0.76,,,0.0,54.4738,1.748,-1.748,0.0,0.1714,0.0055,-0.0055,0.0,0.03,0.02,-0.02,0.0,,,,,,,,,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.329815399999998,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
2,5,5574.2,93.8,-88.6,0.0,5.957,0.074,-0.071,0.0,13.0,,,0.0,1.16,,,0.0,1232.493,21.612,-21.612,0.0,3.878,0.068,-0.068,0.0,0.13,0.02,-0.02,0.0,,,,,,,,,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.329815399999998,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
2,5,0.7365474,1.3e-06,-1.4e-06,0.0,0.01544,5e-05,-5e-05,0.0,1.875,0.028999999999999998,-0.028999999999999998,0.0,0.16699999999999998,0.003,-0.003,0.0,7.99,0.32,-0.33,0.0,0.02514,0.00101,-0.0010400000000000001,0.0,0.05,0.03,-0.03,0.0,,,,,1958.0,15.0,-15.0,0.0,0,5172.0,18.0,-18.0,0.0,0.94,0.01,-0.01,0.0,0.91,0.01,-0.01,0.0,0.35,0.1,-0.1,0.0,4.43,0.02,-0.02,0.0,133.1468373,28.329815399999998,12.5855,0.0124,-0.0123,5.95084,0.023,-0.023,4.015,0.036,-0.036,5.72973,0.0008523,-0.0008523
