,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasselim,pl_bmassj,pl_bmassjlim,pl_orbeccen,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqtlim
2172,2.41660118,5.28e-06,-5.28e-06,0.0,0.036000000000000004,0.0,0.91,0.06,-0.04,0.0,0.081,0.005,-0.004,0.0,0.693,0.0,0.00218,0.0,0.0,0.0,715.11,20.79,-20.22,0.0,1343.0,0.0
2173,3.908632,7.400000000000001e-06,-7.400000000000001e-06,0.0,0.0418,0.0,2.43,0.09,-0.39,0.0,0.217,0.008,-0.035,0.0,6.48,0.0,0.0204,0.0,0.0,0.0,99.1,4.7,-4.47,0.0,787.0,0.0
2174,160.129918,0.0017420000000000005,-0.0017420000000000005,0.0,0.6276,0.0,4.77,1.95,-0.75,0.0,0.426,0.174,-0.067,0.0,20.4,0.0,0.0641,0.0,0.0,0.0,7.81,0.96,-0.83,0.0,450.0,0.0
2175,1.79111021,7.699999999999999e-06,-7.699999999999999e-06,0.0,0.0296,0.0,1.46,0.25,-0.13,0.0,0.13,0.022000000000000002,-0.012,0.0,2.73,0.0,0.00859,0.0,0.0,0.0,1106.85,44.93,-42.87,0.0,1549.0,0.0
2176,5.33905686,1.277e-05,-1.277e-05,0.0,0.0525,0.0,2.1,0.15,-0.11,0.0,0.187,0.013000000000000001,-0.01,0.0,5.06,0.0,0.0159,0.0,0.0,0.0,115.77,5.33,-5.07,0.0,817.0,0.0
2177,18.870227,3.9e-05,-3.9e-05,0.0,0.129,0.0,2.92,1.76,-1.76,0.0,0.261,0.157,-0.157,0.0,8.85,0.0,0.0279,0.0,0.0,0.0,21.61,0.56,-0.55,0.0,621.0,0.0
2178,46.90232,0.000215,-0.000215,0.0,0.237,0.0,2.53,1.52,-1.52,0.0,0.226,0.136,-0.136,0.0,6.94,0.0,0.0218,0.0,0.0,0.0,6.42,0.17,-0.16,0.0,458.0,0.0
2179,2.5904434,0.0001715,-0.0001715,0.0,0.0371,0.0,1.64,0.21,-0.11,0.0,0.146,0.019,-0.01,0.0,3.33,0.0,0.0105,0.0,0.0,0.0,353.56,9.9,-9.64,0.0,1484.0,0.0
2180,5.3227406,0.0006331,-0.0006331,0.0,0.06,0.0,1.65,0.24,-0.11,0.0,0.147,0.021,-0.01,0.0,3.36,0.0,0.0106,0.0,0.0,0.0,135.18,3.78,-3.69,0.0,1167.0,0.0
2181,1.13854338,2.59e-06,-2.59e-06,0.0,0.022,0.0,1.11,0.48,-0.18,0.0,0.099,0.043,-0.016,0.0,1.41,0.0,0.0044399999999999995,0.0,0.0,0.0,9805.45,6021.02,-5589.86,0.0,2537.0,0.0
2182,1.09366356,2.16e-06,-2.16e-06,0.0,0.0206,0.0,1.35,0.18,-0.12,0.0,0.12,0.016,-0.011000000000000001,0.0,2.39,0.0,0.0075200000000000015,0.0,0.0,0.0,1705.76,84.24,-80.16,0.0,1681.0,0.0
