,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
3507,5601.0,89.95,-87.84,0.0,0.9,0.11,-0.07,0.0,0.93,0.05,-0.06,0.0,-0.08,0.159,-0.19,0.0,4.51,0.05,-0.11,0.0
3508,6000.0,100.0,-100.0,0.0,1.12,0.04,-0.04,0.0,1.18,0.04,-0.04,0.0,0.42,0.11,-0.11,0.0,4.44,0.01,-0.01,0.0
3509,5438.0,62.55,-80.55,0.0,0.87,0.1,-0.05,0.0,0.91,0.04,-0.04,0.0,0.03,0.135,-0.163,0.0,4.52,0.04,-0.11,0.0
3510,6129.0,80.64,-111.81,0.0,1.24,0.42,-0.15,0.0,1.16,0.13,-0.08,0.0,0.07,0.13699999999999998,-0.135,0.0,4.31,0.09,-0.21,0.0
3511,4642.0,41.76,-44.03,0.0,0.71,0.02,-0.03,0.0,0.76,0.03,-0.04,0.0,0.07,0.157,-0.183,0.0,4.62,0.01,-0.03,0.0
3512,5486.0,77.47,-78.82,0.0,0.85,0.02,-0.02,0.0,0.94,0.03,-0.03,0.0,0.01,0.09300000000000001,-0.095,0.0,4.55,0.01,-0.01,0.0
3513,5594.0,84.04,-77.39,0.0,0.93,0.06,-0.05,0.0,0.94,0.04,-0.04,0.0,0.0,0.10300000000000001,-0.106,0.0,4.48,0.05,-0.07,0.0
3514,5849.0,106.52,-158.12,0.0,1.04,0.28,-0.1,0.0,1.04,0.07,-0.07,0.0,0.06,0.132,-0.158,0.0,4.42,0.07,-0.19,0.0
3515,5418.0,87.09,-89.83,0.0,0.93,0.1,-0.07,0.0,0.91,0.04,-0.03,0.0,0.09,0.096,-0.09300000000000001,0.0,4.46,0.08,-0.09,0.0
3516,5096.0,70.39,-92.77,0.0,0.78,0.04,-0.04,0.0,0.82,0.04,-0.05,0.0,-0.03,0.166,-0.168,0.0,4.58,0.03,-0.05,0.0
3517,5934.0,95.16,-141.93,0.0,1.1,0.28,-0.12,0.0,1.07,0.09,-0.07,0.0,0.08,0.142,-0.165,0.0,4.38,0.09,-0.17,0.0
3518,5009.0,218.03,-165.4,0.0,0.75,0.06,-0.06,0.0,0.79,0.06,-0.05,0.0,-0.11,0.16699999999999998,-0.19,0.0,4.59,0.03,-0.05,0.0
3519,5200.0,100.0,-100.0,0.0,0.89,0.02,-0.02,0.0,0.91,0.04,-0.04,0.0,0.3,0.12,-0.12,0.0,4.5,0.02,-0.02,0.0
3520,6160.0,90.96,-121.55,0.0,1.23,0.42,-0.16,0.0,1.15,0.14,-0.08,0.0,0.03,0.13,-0.161,0.0,4.32,0.1,-0.2,0.0
3521,6160.0,90.96,-121.55,0.0,1.23,0.42,-0.16,0.0,1.15,0.14,-0.08,0.0,0.03,0.13,-0.161,0.0,4.32,0.1,-0.2,0.0
3522,5387.0,131.81,-138.29,0.0,0.84,0.08,-0.06,0.0,0.87,0.05,-0.06,0.0,-0.06,0.156,-0.183,0.0,4.54,0.04,-0.08,0.0
3523,5373.0,161.73,-107.25,0.0,0.83,0.07,-0.06,0.0,0.87,0.05,-0.06,0.0,-0.08,0.16399999999999998,-0.174,0.0,4.54,0.04,-0.08,0.0
3524,4346.0,51.36,-39.68,0.0,0.65,0.02,-0.02,0.0,0.68,0.03,-0.03,0.0,-0.03,0.12,-0.09300000000000001,0.0,4.65,0.01,-0.02,0.0
3525,5935.0,126.07,-181.97,0.0,1.08,0.26,-0.12,0.0,1.06,0.08,-0.08,0.0,0.05,0.13,-0.161,0.0,4.39,0.09,-0.16,0.0
3526,5043.0,89.62,-83.54,0.0,0.77,0.02,-0.02,0.0,0.82,0.03,-0.04,0.0,-0.01,0.1,-0.10800000000000001,0.0,4.58,0.02,-0.02,0.0
3527,5043.0,89.62,-83.54,0.0,0.77,0.02,-0.02,0.0,0.82,0.03,-0.04,0.0,-0.01,0.1,-0.10800000000000001,0.0,4.58,0.02,-0.02,0.0
